69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1
69.69,pin-state,pin,-15,state,1,count,1

