4.7031,version,20180705
4.7269,date,20190622163450
4.7288,session,VR20190622163450
142.9845,parse,"/storage/emulated/0/SmoothWalk/Img_script - Car.xml"
143.0816,log-binary,pin,20,debounce-falling,0,debounce-rising,0,factor,1
143.1656,sprite,id,background,color,0.0000 0.0000 0.0000 1.0000
143.3186,object,id,object,extents,0.66 0.01 0.38 height
143.3268,object,id,object,i,0,j90,k,0
143.3292,object,id,object,si,0,sj,2,sk,0
144.1269,pin-state,pin,20,state,0,count,0
146.0287,load,bundle,"3D/modern-car4",asset,"modern-car4",success,true
147.8357,load,bundle,"3D/pencil",asset,"pencil",success,true
147.8374,load,bundle,"3D/dino51",asset,"dino51",success,true
147.8398,load,bundle,"3D/dream-ball",asset,"dream-ball",success,true
147.8417,load,bundle,"3D/modern-car4",asset,"modern-car4",success,true
147.8866,load,bundle,"3D/ball1",asset,"ball1",success,true
147.8896,load,bundle,"3D/pig",asset,"pig",success,true
147.9258,load,bundle,"3D/tuning-car4",asset,"tuning-car4",success,true
147.9307,load,bundle,"3D/billiard-ball",asset,"billiard-ball",success,true
147.9407,load,bundle,"3D/ball1",asset,"ball1",success,true
147.9657,load,bundle,"3D/dino13",asset,"dino13",success,true
147.9684,load,bundle,"3D/baseball",asset,"baseball",success,true
147.9943,load,bundle,"3D/modern-car2",asset,"modern-car2",success,true
147.9959,load,bundle,"3D/nivea",asset,"nivea",success,true
148.0583,object,id,object,bundle,"3D/ball1",asset,"ball1",success,true
148.0621,load,bundle,"3D/ball9",asset,"ball9",success,true
148.0656,load,bundle,"3D/rally-eclipse",asset,"rally-eclipse",success,true
148.0973,load,bundle,"3D/modern-car6",asset,"modern-car6",success,true
148.1302,load,bundle,"3D/candy-dispenser",asset,"candy-dispenser",success,true
148.4714,sprite,id,black,color,0.0000 0.0000 0.0000 1.0000
148.6339,load,bundle,"3D/mobile-car11",asset,"mobile-car11",success,true
148.7320,load,bundle,"3D/spiky-bomb",asset,"spiky-bomb",success,true
148.7977,load,bundle,"3D/wheel",asset,"wheel",success,true
149.0822,load,bundle,"3D/dino11",asset,"dino11",success,true
149.4233,load,bundle,"3D/dino17",asset,"dino17",success,true
149.6779,load,bundle,"3D/dusk-ball",asset,"dusk-ball",success,true
149.8867,load,bundle,"3D/simple-bus2",asset,"simple-bus2",success,true
149.9755,load,bundle,"3D/car1",asset,"car1",success,true
150.0588,load,bundle,"3D/crab",asset,"crab",success,true
150.2509,load,bundle,"3D/great-ball",asset,"great-ball",success,true
150.7248,load,bundle,"3D/column15",asset,"column15",success,true
151.0855,load,bundle,"3D/earth",asset,"earth",success,true
151.2868,load,bundle,"3D/simple-taxi",asset,"simple-taxi",success,true
151.5721,load,bundle,"3D/column23",asset,"column23",success,true
151.6272,load,bundle,"3D/rally-petite",asset,"rally-petite",success,true
151.6831,load,bundle,"3D/monkey",asset,"monkey",success,true
152.1517,load,bundle,"3D/pillar-column",asset,"pillar-column",success,true
152.6433,load,bundle,"3D/pillar-column",asset,"pillar-column",success,true
152.6478,load,bundle,"3D/pillar-obelisk",asset,"pillar-obelisk",success,true
153.0969,load,bundle,"3D/pillar-concrete",asset,"pillar-concrete",success,true
153.4657,load,bundle,"3D/jameson",asset,"jameson",success,true
153.5330,load,bundle,"3D/flashlight",asset,"flashlight",success,true
153.9518,load,bundle,"3D/mobile-car12",asset,"mobile-car12",success,true
154.0085,load,bundle,"3D/ball4",asset,"ball4",success,true
154.3142,load,bundle,"3D/pernod",asset,"pernod",success,true
154.6188,load,bundle,"3D/malibu",asset,"malibu",success,true
155.0254,load,bundle,"3D/mobile-car2",asset,"mobile-car2",success,true
155.1099,load,bundle,"3D/dino3",asset,"dino3",success,true
155.3391,load,bundle,"3D/dino60",asset,"dino60",success,true
155.5707,load,bundle,"3D/bucky-ball",asset,"bucky-ball",success,true
156.0427,load,bundle,"3D/sphere32",asset,"sphere32",success,true
156.5049,load,bundle,"3D/pillar-concrete-oldschool",asset,"pillar-concrete-oldschool",success,true
156.5802,load,bundle,"3D/dino1",asset,"dino1",success,true
158.5022,object,id,object,extents,0.66 0.01 0.38 height
158.5025,object,id,object,i,0,j90,k,0
158.5026,object,id,object,si,0,sj,2,sk,0
158.5660,object,id,object,bundle,"3D/ball1",asset,"ball1",success,true
159.7990,pin-state,pin,20,state,1,count,1
159.8271,pin-state,pin,20,state,0,count,1
159.8275,pin-state,pin,20,state,1,count,2
159.8923,pin-state,pin,20,state,0,count,2
159.8924,pin-state,pin,20,state,1,count,3
159.9594,pin-state,pin,20,state,0,count,3
159.9594,pin-state,pin,20,state,1,count,4
159.9926,pin-state,pin,20,state,0,count,4
159.9927,pin-state,pin,20,state,1,count,5
160.0595,pin-state,pin,20,state,0,count,5
160.0596,pin-state,pin,20,state,1,count,6
160.0929,pin-state,pin,20,state,0,count,6
160.0930,pin-state,pin,20,state,1,count,7
160.1599,pin-state,pin,20,state,0,count,7
160.1600,pin-state,pin,20,state,1,count,8
